,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
10,Matt Carroll,2009,DAL,0.36,17.3,0.62,0.12,0.06,0.16,0.28,0.38,0.452,0.333,0.333,0.625,0.429,0.211,0.429,0.0,0.0,1.0,0.579,0.273,0.0,0.0
11,Matt Carroll,2010,CHA,0.447,15.6,0.769,0.236,0.03,0.035,0.467,0.231,0.471,0.553,0.167,0.286,0.462,0.37,0.806,0.0,0.0,1.0,0.609,0.393,0.0,0.0
12,Matt Carroll,2011,CHA,0.331,16.2,0.726,0.191,0.076,0.025,0.433,0.274,0.386,0.5,0.167,0.5,0.368,0.186,0.727,0.0,0.0,1.0,0.372,0.313,0.0,0.0
0,Anthony Carter,2000,MIA,0.406,12.8,0.917,0.263,0.115,0.19,0.35,0.083,0.43,0.579,0.364,0.319,0.399,0.15,0.529,0.023,10.0,0.5,0.05,0.5,6.0,0.0
1,Anthony Carter,2001,MIA,0.342,14.9,0.927,0.188,0.108,0.131,0.5,0.073,0.365,0.592,0.214,0.265,0.338,0.053,0.443,0.0,0.0,1.0,0.105,0.0,4.0,0.0
2,Anthony Carter,2002,MIA,0.356,13.8,0.966,0.232,0.077,0.142,0.515,0.034,0.369,0.574,0.333,0.364,0.283,0.0,0.506,0.013,3.0,,0.0,,4.0,0.0
3,Anthony Carter,2003,SAS,0.297,13.9,0.919,0.216,0.108,0.162,0.432,0.081,0.324,0.5,0.0,0.167,0.375,0.0,0.545,0.0,0.0,,0.333,0.0,1.0,0.0
4,Anthony Carter,2004,MIN,0.407,13.4,0.904,0.339,0.034,0.045,0.486,0.096,0.438,0.6,0.333,0.125,0.36,0.118,0.571,0.0,0.0,1.0,0.118,0.0,3.0,0.0
5,Anthony Carter,2005,MIN,0.387,13.3,0.891,0.35,0.044,0.029,0.467,0.109,0.402,0.458,0.667,0.25,0.344,0.267,0.49,0.007,1.0,0.5,0.133,0.0,3.0,0.0
6,Anthony Carter,2006,DEN,0.375,24.5,0.75,0.125,0.0,0.0,0.625,0.25,0.5,1.0,,,0.4,0.0,0.333,0.0,0.0,,0.0,,1.0,0.0
7,Anthony Carter,2007,DEN,0.458,14.3,0.729,0.309,0.063,0.036,0.321,0.271,0.499,0.605,0.4,0.647,0.399,0.349,0.659,0.002,1.0,0.933,0.333,0.419,5.0,0.0
8,Anthony Carter,2008,DEN,0.433,14.6,0.772,0.272,0.085,0.057,0.358,0.228,0.49,0.6,0.424,0.364,0.442,0.239,0.61,0.003,1.0,0.952,0.216,0.158,4.0,0.0
9,Anthony Carter,2009,DEN,0.42,14.9,0.652,0.265,0.088,0.039,0.26,0.348,0.5,0.667,0.438,0.286,0.383,0.27,0.559,0.006,1.0,1.0,0.381,0.292,0.0,0.0
10,Anthony Carter,2010,TOT,0.425,16.2,0.623,0.189,0.17,0.057,0.208,0.377,0.5,0.8,0.556,0.0,0.318,0.3,0.485,0.0,0.0,0.833,0.175,0.286,2.0,0.0
11,Anthony Carter,2010,DEN,0.333,19.1,0.6,0.133,0.1,0.033,0.333,0.4,0.333,0.75,0.333,0.0,0.2,0.333,0.667,0.0,0.0,1.0,0.25,0.333,1.0,0.0
12,Anthony Carter,2010,NYK,0.461,15.0,0.632,0.211,0.197,0.066,0.158,0.368,0.563,0.813,0.6,0.0,0.417,0.286,0.444,0.0,0.0,0.75,0.143,0.25,1.0,0.0
13,Anthony Carter,2011,TOR,0.321,19.4,0.679,0.151,0.075,0.113,0.34,0.321,0.333,0.75,0.5,0.333,0.111,0.294,0.333,0.0,0.0,0.6,0.059,0.0,3.0,0.0
0,Jevon Carter,2018,MEM,0.303,19.0,0.449,0.146,0.049,0.108,0.146,0.551,0.265,0.296,0.333,0.25,0.222,0.333,0.227,0.005,1.0,0.676,0.304,0.355,2.0,0.0
0,Maurice Carter,2003,TOT,0.314,17.2,0.686,0.114,0.086,0.086,0.4,0.314,0.292,0.75,0.0,0.0,0.286,0.364,0.714,0.029,1.0,1.0,0.364,0.25,0.0,0.0
1,Maurice Carter,2003,LAL,0.357,15.2,0.786,0.143,0.143,0.143,0.357,0.214,0.364,1.0,0.0,0.0,0.4,0.333,0.75,0.071,1.0,1.0,0.0,,0.0,0.0
2,Maurice Carter,2003,NOH,0.286,18.5,0.619,0.095,0.048,0.048,0.429,0.381,0.231,0.5,0.0,0.0,0.222,0.375,0.667,0.0,0.0,1.0,0.5,0.25,0.0,0.0
0,Vince Carter,2000,TOR,0.46,14.1,0.76,0.245,0.1,0.124,0.29,0.24,0.477,0.613,0.337,0.432,0.428,0.408,0.558,0.028,44.0,0.772,0.169,0.403,1.0,0.0
1,Vince Carter,2001,TOR,0.428,14.1,0.761,0.216,0.132,0.138,0.275,0.239,0.441,0.571,0.436,0.37,0.376,0.387,0.425,0.051,59.0,0.851,0.176,0.418,1.0,0.0
2,Vince Carter,2002,TOR,0.467,14.3,0.828,0.187,0.121,0.15,0.37,0.172,0.493,0.655,0.489,0.535,0.395,0.344,0.506,0.058,43.0,0.822,0.183,0.333,0.0,0.0
3,Vince Carter,2003,TOR,0.417,13.7,0.833,0.199,0.141,0.168,0.325,0.167,0.424,0.583,0.4,0.343,0.38,0.383,0.384,0.039,52.0,0.86,0.243,0.458,3.0,0.0
4,Vince Carter,2004,TOT,0.452,12.8,0.797,0.252,0.171,0.13,0.243,0.203,0.463,0.591,0.405,0.353,0.43,0.406,0.508,0.051,70.0,0.835,0.115,0.361,2.0,0.0
5,Vince Carter,2004,TOR,0.411,13.6,0.805,0.215,0.172,0.116,0.301,0.195,0.432,0.554,0.346,0.314,0.44,0.322,0.495,0.036,11.0,0.842,0.203,0.25,0.0,0.0
6,Vince Carter,2004,NJN,0.462,12.7,0.795,0.262,0.171,0.134,0.228,0.205,0.471,0.599,0.42,0.361,0.428,0.425,0.511,0.055,59.0,0.833,0.094,0.417,2.0,0.0
7,Vince Carter,2005,NJN,0.43,12.6,0.758,0.311,0.148,0.09,0.21,0.242,0.459,0.559,0.375,0.353,0.414,0.341,0.441,0.062,87.0,0.744,0.169,0.371,1.0,0.0
8,Vince Carter,2006,NJN,0.454,12.9,0.727,0.331,0.109,0.064,0.223,0.273,0.491,0.582,0.437,0.382,0.413,0.357,0.453,0.057,86.0,0.814,0.119,0.442,1.0,0.0
9,Vince Carter,2007,NJN,0.456,12.8,0.788,0.316,0.094,0.11,0.267,0.212,0.482,0.558,0.455,0.472,0.407,0.359,0.458,0.061,71.0,0.786,0.165,0.467,3.0,0.0
10,Vince Carter,2008,NJN,0.437,15.0,0.709,0.242,0.072,0.113,0.282,0.291,0.459,0.563,0.433,0.408,0.396,0.385,0.284,0.035,46.0,0.775,0.176,0.478,5.0,0.0
11,Vince Carter,2009,ORL,0.428,14.7,0.681,0.244,0.092,0.14,0.205,0.319,0.456,0.552,0.409,0.38,0.413,0.367,0.225,0.03,28.0,0.782,0.191,0.355,3.0,0.0
12,Vince Carter,2010,TOT,0.437,14.9,0.64,0.227,0.143,0.101,0.169,0.36,0.479,0.644,0.433,0.344,0.377,0.361,0.33,0.045,36.0,0.922,0.302,0.443,3.0,0.0
13,Vince Carter,2010,ORL,0.47,13.7,0.707,0.278,0.158,0.105,0.165,0.293,0.521,0.649,0.476,0.5,0.364,0.346,0.204,0.041,10.0,0.852,0.295,0.478,1.0,0.0
14,Vince Carter,2010,PHO,0.422,15.5,0.611,0.205,0.136,0.099,0.171,0.389,0.458,0.641,0.412,0.274,0.383,0.366,0.4,0.046,26.0,0.944,0.305,0.432,2.0,0.0
15,Vince Carter,2011,DAL,0.411,14.7,0.622,0.227,0.146,0.09,0.159,0.378,0.442,0.61,0.316,0.367,0.36,0.361,0.262,0.044,20.0,0.865,0.249,0.333,1.0,0.0
16,Vince Carter,2012,DAL,0.435,17.1,0.533,0.17,0.133,0.076,0.154,0.467,0.461,0.559,0.43,0.369,0.424,0.406,0.257,0.033,26.0,0.772,0.133,0.283,4.0,0.0
17,Vince Carter,2013,DAL,0.407,16.6,0.543,0.184,0.129,0.081,0.148,0.457,0.418,0.517,0.41,0.333,0.35,0.394,0.207,0.021,15.0,0.76,0.159,0.39,4.0,0.0
18,Vince Carter,2014,MEM,0.333,19.3,0.429,0.131,0.074,0.067,0.158,0.571,0.379,0.472,0.333,0.407,0.313,0.297,0.242,0.012,5.0,0.928,0.138,0.375,2.0,0.0
19,Vince Carter,2015,MEM,0.388,16.9,0.507,0.207,0.093,0.073,0.134,0.493,0.425,0.535,0.313,0.36,0.37,0.349,0.5,0.052,16.0,0.864,0.172,0.345,4.0,2.0
20,Vince Carter,2016,MEM,0.394,18.4,0.396,0.182,0.092,0.047,0.076,0.604,0.418,0.483,0.444,0.174,0.378,0.378,0.432,0.022,10.0,0.875,0.193,0.351,2.0,0.0
21,Vince Carter,2017,SAC,0.403,18.2,0.417,0.17,0.092,0.042,0.113,0.583,0.483,0.583,0.308,0.583,0.438,0.345,0.474,0.039,10.0,0.982,0.145,0.292,2.0,0.0
22,Vince Carter,2018,ATL,0.419,19.8,0.325,0.147,0.071,0.064,0.043,0.675,0.48,0.623,0.273,0.467,0.35,0.389,0.589,0.036,15.0,0.911,0.152,0.458,3.0,0.0
0,Wendell Carter Jr.,2018,CHI,0.485,8.4,0.914,0.404,0.218,0.186,0.105,0.086,0.513,0.667,0.42,0.377,0.359,0.188,0.776,0.124,43.0,1.0,0.406,0.154,0.0,0.0
0,Michael Carter-Williams,2013,PHI,0.405,10.6,0.803,0.34,0.248,0.083,0.132,0.197,0.44,0.553,0.345,0.364,0.374,0.264,0.255,0.029,29.0,0.655,0.087,0.389,1.0,0.0
1,Michael Carter-Williams,2014,TOT,0.396,10.6,0.834,0.323,0.236,0.098,0.177,0.166,0.428,0.596,0.341,0.411,0.245,0.235,0.204,0.032,27.0,0.917,0.118,0.222,2.0,0.0
2,Michael Carter-Williams,2014,PHI,0.38,11.5,0.795,0.303,0.231,0.079,0.185,0.205,0.412,0.627,0.305,0.313,0.23,0.256,0.21,0.025,15.0,0.906,0.08,0.2,1.0,0.0
3,Michael Carter-Williams,2014,MIL,0.429,9.0,0.909,0.364,0.247,0.136,0.162,0.091,0.457,0.545,0.408,0.524,0.28,0.143,0.195,0.045,12.0,1.0,0.286,0.25,1.0,0.0
4,Michael Carter-Williams,2015,MIL,0.452,8.6,0.901,0.351,0.27,0.135,0.144,0.099,0.472,0.569,0.46,0.347,0.375,0.273,0.36,0.05,24.0,0.733,0.255,0.357,1.0,0.0
5,Michael Carter-Williams,2016,CHI,0.366,11.1,0.791,0.265,0.294,0.144,0.088,0.209,0.401,0.519,0.378,0.295,0.296,0.234,0.423,0.02,6.0,0.933,0.406,0.308,0.0,0.0
6,Michael Carter-Williams,2017,CHO,0.332,11.3,0.742,0.314,0.214,0.1,0.114,0.258,0.365,0.556,0.224,0.217,0.231,0.237,0.339,0.035,8.0,0.857,0.373,0.227,0.0,0.0
7,Michael Carter-Williams,2018,TOT,0.374,11.1,0.691,0.301,0.325,0.057,0.008,0.309,0.424,0.541,0.35,0.286,0.0,0.263,0.25,0.024,3.0,0.8,0.342,0.385,0.0,0.0
8,Michael Carter-Williams,2018,HOU,0.41,11.0,0.689,0.311,0.311,0.066,0.0,0.311,0.429,0.526,0.421,0.0,,0.368,0.333,0.033,2.0,0.714,0.421,0.25,0.0,0.0
9,Michael Carter-Williams,2018,ORL,0.339,11.1,0.694,0.29,0.339,0.048,0.016,0.306,0.419,0.556,0.286,0.667,0.0,0.158,0.167,0.016,1.0,1.0,0.263,0.6,0.0,0.0
0,Alex Caruso,2017,LAL,0.431,13.5,0.629,0.319,0.121,0.112,0.078,0.371,0.507,0.703,0.429,0.231,0.222,0.302,0.514,0.052,4.0,0.615,0.116,0.0,1.0,0.0
1,Alex Caruso,2018,LAL,0.445,11.5,0.711,0.393,0.15,0.104,0.064,0.289,0.431,0.559,0.308,0.222,0.273,0.48,0.415,0.046,5.0,0.667,0.22,0.273,0.0,0.0
0,Sam Cassell,2000,MIL,0.474,13.2,0.913,0.14,0.103,0.413,0.258,0.087,0.49,0.601,0.385,0.471,0.503,0.306,0.333,0.0,0.0,0.833,0.316,0.387,1.0,0.0
1,Sam Cassell,2001,MIL,0.463,15.4,0.83,0.097,0.069,0.363,0.301,0.17,0.486,0.578,0.41,0.495,0.464,0.348,0.377,0.0,0.0,0.662,0.216,0.455,3.0,0.0
2,Sam Cassell,2002,MIL,0.47,14.1,0.86,0.131,0.114,0.352,0.262,0.14,0.487,0.605,0.496,0.479,0.436,0.362,0.351,0.0,0.0,0.847,0.227,0.432,3.0,0.0
3,Sam Cassell,2003,MIN,0.488,15.2,0.854,0.103,0.089,0.284,0.377,0.146,0.504,0.618,0.575,0.501,0.457,0.398,0.251,0.0,0.0,0.838,0.183,0.412,2.0,0.0
4,Sam Cassell,2004,MIN,0.464,16.9,0.85,0.086,0.049,0.227,0.488,0.15,0.5,0.661,0.588,0.436,0.493,0.262,0.318,0.0,0.0,0.815,0.155,0.563,5.0,0.0
5,Sam Cassell,2005,LAC,0.443,16.1,0.829,0.078,0.083,0.284,0.384,0.171,0.459,0.598,0.413,0.519,0.396,0.368,0.281,0.0,0.0,0.729,0.095,0.333,4.0,0.0
6,Sam Cassell,2006,LAC,0.418,15.1,0.826,0.115,0.101,0.258,0.352,0.174,0.444,0.569,0.46,0.453,0.391,0.294,0.262,0.0,0.0,0.844,0.083,0.333,0.0,0.0
7,Sam Cassell,2007,TOT,0.438,16.1,0.857,0.094,0.075,0.271,0.417,0.143,0.461,0.5,0.475,0.431,0.468,0.303,0.305,0.0,0.0,0.87,0.092,0.714,3.0,0.0
8,Sam Cassell,2007,LAC,0.455,15.4,0.866,0.109,0.085,0.291,0.381,0.134,0.486,0.568,0.529,0.462,0.471,0.259,0.284,0.0,0.0,0.857,0.074,0.5,2.0,0.0
9,Sam Cassell,2007,BOS,0.385,18.1,0.831,0.046,0.046,0.208,0.531,0.169,0.38,0.0,0.167,0.296,0.464,0.409,0.39,0.0,0.0,0.889,0.136,1.0,1.0,0.0
0,Omri Casspi,2009,SAC,0.446,13.0,0.698,0.274,0.201,0.057,0.167,0.302,0.48,0.658,0.319,0.474,0.384,0.369,0.564,0.048,29.0,0.92,0.271,0.509,2.0,0.0
1,Omri Casspi,2010,SAC,0.412,15.9,0.548,0.198,0.159,0.059,0.132,0.452,0.445,0.685,0.345,0.188,0.319,0.372,0.714,0.049,27.0,0.967,0.344,0.459,3.0,0.0
2,Omri Casspi,2011,CLE,0.403,13.0,0.592,0.32,0.165,0.063,0.044,0.408,0.463,0.553,0.338,0.308,0.5,0.315,0.655,0.061,23.0,0.906,0.298,0.32,0.0,0.0
3,Omri Casspi,2012,CLE,0.394,16.2,0.525,0.219,0.119,0.056,0.131,0.475,0.452,0.457,0.368,0.444,0.524,0.329,0.658,0.013,2.0,0.96,0.171,0.385,0.0,0.0
4,Omri Casspi,2013,HOU,0.422,14.2,0.571,0.222,0.239,0.049,0.059,0.429,0.479,0.692,0.388,0.25,0.25,0.347,0.696,0.032,12.0,0.902,0.222,0.359,0.0,0.0
5,Omri Casspi,2014,SAC,0.489,8.5,0.796,0.382,0.358,0.035,0.021,0.204,0.512,0.724,0.34,0.133,0.222,0.402,0.667,0.063,25.0,0.914,0.149,0.385,0.0,0.0
6,Omri Casspi,2015,SAC,0.481,13.0,0.559,0.28,0.256,0.023,0.003,0.441,0.537,0.661,0.44,0.214,0.0,0.409,0.663,0.05,29.0,0.857,0.168,0.435,1.0,0.0
7,Omri Casspi,2016,TOT,0.467,9.1,0.739,0.43,0.285,0.018,0.006,0.261,0.508,0.62,0.383,0.0,0.0,0.349,0.726,0.042,6.0,1.0,0.209,0.333,0.0,0.0
8,Omri Casspi,2016,SAC,0.453,8.8,0.752,0.453,0.274,0.017,0.009,0.248,0.477,0.604,0.313,0.0,0.0,0.379,0.69,0.034,3.0,1.0,0.172,0.4,0.0,0.0
9,Omri Casspi,2016,NOP,0.556,12.3,0.556,0.444,0.111,0.0,0.0,0.444,0.6,0.5,1.0,,,0.5,0.667,0.111,1.0,1.0,0.25,0.0,0.0,0.0
10,Omri Casspi,2016,MIN,0.487,9.0,0.744,0.359,0.359,0.026,0.0,0.256,0.586,0.714,0.5,0.0,,0.2,0.824,0.051,2.0,1.0,0.3,0.333,0.0,0.0
11,Omri Casspi,2017,GSW,0.58,6.1,0.894,0.507,0.3,0.082,0.005,0.106,0.595,0.705,0.452,0.471,0.0,0.455,0.791,0.053,10.0,1.0,0.227,0.8,1.0,0.0
12,Omri Casspi,2018,MEM,0.534,9.1,0.733,0.46,0.255,0.019,0.0,0.267,0.602,0.784,0.317,0.0,,0.349,0.761,0.099,16.0,1.0,0.14,0.333,0.0,0.0
0,Kelvin Cato,2000,HOU,0.577,3.7,1.0,0.613,0.243,0.099,0.045,0.0,0.577,0.75,0.407,0.182,0.0,,0.922,0.324,32.0,,,,0.0,0.0
1,Kelvin Cato,2001,HOU,0.583,2.7,0.997,0.752,0.132,0.071,0.043,0.003,0.585,0.69,0.163,0.348,0.429,0.0,0.784,0.475,129.0,,0.0,,0.0,0.0
2,Kelvin Cato,2002,HOU,0.52,4.1,0.984,0.648,0.191,0.109,0.035,0.016,0.528,0.657,0.286,0.25,0.333,0.0,0.789,0.352,79.0,,0.0,,2.0,0.0
3,Kelvin Cato,2003,HOU,0.447,5.4,1.0,0.539,0.183,0.161,0.117,0.0,0.447,0.624,0.242,0.259,0.214,,0.839,0.283,87.0,,,,0.0,0.0
4,Kelvin Cato,2004,ORL,0.539,5.5,1.0,0.576,0.128,0.178,0.118,0.0,0.539,0.655,0.5,0.321,0.343,,0.775,0.293,78.0,,,,0.0,0.0
5,Kelvin Cato,2005,TOT,0.429,6.8,1.0,0.393,0.286,0.167,0.155,0.0,0.429,0.667,0.208,0.286,0.385,,0.833,0.143,10.0,,,,0.0,0.0
6,Kelvin Cato,2005,ORL,0.431,6.2,1.0,0.417,0.306,0.153,0.125,0.0,0.431,0.633,0.227,0.364,0.333,,0.806,0.153,9.0,,,,0.0,0.0
7,Kelvin Cato,2005,DET,0.417,10.6,1.0,0.25,0.167,0.25,0.333,0.0,0.417,1.0,0.0,0.0,0.5,,1.0,0.083,1.0,,,,0.0,0.0
8,Kelvin Cato,2006,NYK,0.318,3.6,1.0,0.682,0.182,0.045,0.091,0.0,0.318,0.2,0.75,0.0,0.5,,0.571,0.136,2.0,,,,0.0,0.0
0,Willie Cauley-Stein,2015,SAC,0.563,3.7,0.994,0.602,0.271,0.065,0.056,0.006,0.567,0.667,0.457,0.364,0.263,0.0,0.759,0.286,81.0,,1.0,0.0,0.0,0.0
1,Willie Cauley-Stein,2016,SAC,0.53,5.9,0.996,0.449,0.326,0.123,0.098,0.004,0.532,0.722,0.382,0.373,0.362,0.0,0.725,0.187,80.0,,0.0,,0.0,0.0
2,Willie Cauley-Stein,2017,SAC,0.502,6.2,0.984,0.459,0.301,0.076,0.146,0.016,0.506,0.676,0.339,0.288,0.434,0.25,0.678,0.191,134.0,1.0,0.25,0.333,3.0,0.0
3,Willie Cauley-Stein,2018,SAC,0.556,4.5,0.997,0.594,0.27,0.065,0.069,0.003,0.556,0.714,0.31,0.354,0.353,0.5,0.786,0.279,182.0,1.0,0.0,,1.0,0.0
0,Troy Caupain,2018,ORL,0.5,17.9,0.625,0.125,0.0,0.25,0.25,0.375,0.4,0.0,,0.5,0.5,0.667,0.0,0.0,0.0,0.5,0.0,,0.0,0.0
0,Duane Causwell,2000,MIA,0.376,5.8,1.0,0.365,0.388,0.224,0.024,0.0,0.376,0.613,0.242,0.211,0.5,,0.656,0.082,5.0,,,,0.0,0.0
0,Tyler Cavanaugh,2017,ATL,0.441,15.8,0.414,0.27,0.079,0.033,0.033,0.586,0.556,0.585,0.417,0.6,0.6,0.36,0.686,0.007,1.0,1.0,0.326,0.379,0.0,0.0
1,Tyler Cavanaugh,2018,UTA,0.3,13.8,0.5,0.2,0.3,0.0,0.0,0.5,0.4,1.0,0.0,,,0.2,1.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0
0,Cedric Ceballos,2000,TOT,0.441,11.5,0.681,0.45,0.048,0.052,0.131,0.319,0.506,0.592,0.273,0.333,0.367,0.301,0.684,0.035,7.0,1.0,0.479,0.314,0.0,0.0
1,Cedric Ceballos,2000,DET,0.394,17.5,0.437,0.211,0.042,0.085,0.099,0.563,0.548,0.8,0.0,0.333,0.429,0.275,0.588,0.0,0.0,1.0,0.5,0.3,0.0,0.0
2,Cedric Ceballos,2000,MIA,0.462,8.8,0.791,0.557,0.051,0.038,0.146,0.209,0.496,0.557,0.375,0.333,0.348,0.333,0.71,0.051,7.0,1.0,0.455,0.333,0.0,0.0
0,Lionel Chalmers,2004,LAC,0.336,16.1,0.608,0.272,0.088,0.024,0.224,0.392,0.395,0.353,0.364,0.0,0.5,0.245,0.233,0.016,0.0,0.75,0.122,0.0,2.0,0.0
0,Mario Chalmers,2008,MIA,0.42,16.1,0.53,0.254,0.101,0.044,0.131,0.47,0.467,0.482,0.448,0.414,0.471,0.367,0.201,0.02,10.0,0.895,0.151,0.362,8.0,0.0
1,Mario Chalmers,2009,MIA,0.401,17.4,0.48,0.2,0.09,0.07,0.119,0.52,0.491,0.56,0.537,0.438,0.37,0.318,0.196,0.009,4.0,0.76,0.165,0.41,5.0,0.0
2,Mario Chalmers,2010,MIA,0.399,18.9,0.405,0.111,0.108,0.054,0.131,0.595,0.459,0.581,0.5,0.238,0.412,0.359,0.444,0.0,0.0,0.892,0.338,0.372,2.0,0.0
3,Mario Chalmers,2011,MIA,0.448,16.9,0.478,0.187,0.118,0.074,0.098,0.522,0.513,0.581,0.458,0.595,0.388,0.388,0.262,0.002,1.0,0.891,0.285,0.419,1.0,0.0
4,Mario Chalmers,2012,MIA,0.429,17.3,0.431,0.195,0.121,0.057,0.059,0.569,0.456,0.592,0.328,0.467,0.258,0.409,0.375,0.0,0.0,0.829,0.269,0.481,3.0,0.0
5,Mario Chalmers,2013,MIA,0.454,12.7,0.596,0.35,0.182,0.027,0.038,0.404,0.5,0.602,0.382,0.067,0.429,0.385,0.216,0.007,4.0,0.897,0.336,0.513,1.0,0.0
6,Mario Chalmers,2014,MIA,0.403,13.6,0.626,0.305,0.166,0.065,0.089,0.374,0.467,0.53,0.418,0.419,0.373,0.294,0.361,0.006,4.0,0.932,0.375,0.366,7.0,1.0
7,Mario Chalmers,2015,TOT,0.41,12.3,0.664,0.32,0.203,0.056,0.086,0.336,0.461,0.528,0.411,0.36,0.395,0.309,0.213,0.002,0.0,0.739,0.255,0.263,4.0,0.0
8,Mario Chalmers,2015,MIA,0.313,13.3,0.656,0.313,0.188,0.031,0.125,0.344,0.429,0.5,0.167,1.0,0.5,0.091,0.222,0.0,0.0,1.0,0.636,0.143,1.0,0.0
9,Mario Chalmers,2015,MEM,0.417,12.2,0.665,0.32,0.204,0.058,0.083,0.335,0.464,0.53,0.429,0.333,0.382,0.326,0.213,0.002,0.0,0.733,0.225,0.29,3.0,0.0
10,Mario Chalmers,2017,MEM,0.379,15.1,0.569,0.242,0.142,0.106,0.079,0.431,0.456,0.542,0.333,0.404,0.486,0.277,0.278,0.0,0.0,0.83,0.209,0.3,8.0,0.0
0,Tyson Chandler,2001,CHI,0.497,3.9,1.0,0.664,0.155,0.095,0.086,0.0,0.497,0.574,0.298,0.345,0.423,,0.735,0.247,70.0,,,,0.0,0.0
1,Tyson Chandler,2002,CHI,0.531,4.3,1.0,0.583,0.215,0.151,0.052,0.0,0.531,0.649,0.423,0.37,0.12,,0.685,0.2,91.0,,,,0.0,0.0
2,Tyson Chandler,2003,CHI,0.424,5.9,0.994,0.5,0.253,0.101,0.139,0.006,0.427,0.519,0.3,0.25,0.455,0.0,0.567,0.12,16.0,,0.0,,1.0,0.0
3,Tyson Chandler,2004,CHI,0.494,4.3,0.995,0.635,0.184,0.074,0.103,0.005,0.496,0.605,0.286,0.258,0.372,0.0,0.507,0.136,53.0,,0.0,,0.0,0.0
4,Tyson Chandler,2005,CHI,0.565,2.4,0.996,0.781,0.113,0.078,0.025,0.004,0.567,0.629,0.406,0.364,0.0,0.0,0.506,0.24,64.0,,0.0,,0.0,0.0
5,Tyson Chandler,2006,NOK,0.624,2.4,0.998,0.69,0.25,0.047,0.011,0.002,0.625,0.712,0.47,0.273,0.2,0.0,0.469,0.295,125.0,,0.0,,0.0,0.0
6,Tyson Chandler,2007,NOH,0.623,2.1,0.998,0.744,0.225,0.026,0.003,0.002,0.624,0.72,0.331,0.5,0.0,0.0,0.61,0.331,193.0,,0.0,,1.0,0.0
7,Tyson Chandler,2008,NOH,0.565,1.7,1.0,0.802,0.173,0.021,0.004,0.0,0.565,0.634,0.327,0.0,0.0,,0.719,0.336,89.0,,,,0.0,0.0
8,Tyson Chandler,2009,CHA,0.574,1.9,1.0,0.816,0.116,0.032,0.037,0.0,0.574,0.645,0.318,0.0,0.286,,0.606,0.347,56.0,,,,0.0,0.0
9,Tyson Chandler,2010,DAL,0.654,3.8,1.0,0.727,0.155,0.025,0.093,0.0,0.654,0.73,0.429,0.7,0.421,,0.744,0.337,129.0,,,,0.0,0.0
10,Tyson Chandler,2011,NYK,0.679,2.3,0.994,0.82,0.152,0.014,0.008,0.006,0.683,0.753,0.389,0.2,0.0,0.0,0.809,0.403,134.0,,0.5,0.0,1.0,0.0
11,Tyson Chandler,2012,NYK,0.638,2.2,1.0,0.87,0.088,0.025,0.018,0.0,0.638,0.672,0.4,0.4,0.429,,0.741,0.373,140.0,,,,0.0,0.0
12,Tyson Chandler,2013,NYK,0.593,3.7,0.997,0.748,0.124,0.04,0.084,0.003,0.595,0.689,0.225,0.308,0.444,0.0,0.77,0.351,106.0,,0.0,,0.0,0.0
13,Tyson Chandler,2014,DAL,0.666,2.9,1.0,0.805,0.086,0.03,0.08,0.0,0.666,0.746,0.237,0.462,0.4,,0.727,0.432,179.0,,,,0.0,0.0
14,Tyson Chandler,2015,PHO,0.583,2.8,0.997,0.768,0.124,0.038,0.067,0.003,0.585,0.685,0.333,0.167,0.143,0.0,0.667,0.373,103.0,,0.0,,1.0,0.0
15,Tyson Chandler,2016,PHO,0.671,1.4,1.0,0.895,0.096,0.004,0.004,0.0,0.671,0.711,0.364,0.0,0.0,,0.621,0.368,74.0,,,,0.0,0.0
16,Tyson Chandler,2017,PHO,0.647,1.0,1.0,0.93,0.053,0.005,0.011,0.0,0.647,0.672,0.2,1.0,0.5,,0.669,0.412,65.0,,,,0.0,0.0
17,Tyson Chandler,2018,TOT,0.616,2.1,0.99,0.838,0.141,0.0,0.01,0.01,0.622,0.663,0.429,,0.0,0.0,0.672,0.424,37.0,,0.0,,0.0,0.0
18,Tyson Chandler,2018,PHO,0.667,1.1,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.667,,,,,0.75,0.583,6.0,,,,0.0,0.0
19,Tyson Chandler,2018,LAL,0.609,2.2,0.989,0.816,0.161,0.0,0.011,0.011,0.616,0.662,0.429,,0.0,0.0,0.66,0.402,31.0,,0.0,,0.0,0.0
0,Wilson Chandler,2007,NYK,0.438,11.0,0.876,0.343,0.12,0.107,0.306,0.124,0.458,0.651,0.31,0.346,0.338,0.3,0.412,0.058,11.0,1.0,0.367,0.364,0.0,0.0
1,Wilson Chandler,2008,NYK,0.432,14.0,0.702,0.255,0.124,0.105,0.217,0.298,0.476,0.595,0.443,0.405,0.389,0.328,0.452,0.042,40.0,0.951,0.325,0.392,4.0,0.0
