,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
4,Shareef Abdur-Rahim,2003,ATL,0.485,7.9,0.971,0.351,0.309,0.132,0.18,0.029,0.493,0.581,0.447,0.452,0.43,0.217,0.54,0.068,52.0,0.8,0.174,0.0,0.0,0.0
5,Shareef Abdur-Rahim,2003,POR,0.447,7.4,0.958,0.375,0.348,0.068,0.167,0.042,0.451,0.596,0.37,0.278,0.364,0.364,0.535,0.072,19.0,1.0,0.273,1.0,0.0,0.0
6,Shareef Abdur-Rahim,2004,POR,0.503,8.1,0.942,0.397,0.251,0.101,0.193,0.058,0.51,0.632,0.405,0.412,0.45,0.385,0.621,0.1,63.0,1.0,0.308,0.583,0.0,0.0
7,Shareef Abdur-Rahim,2005,SAC,0.525,7.9,0.965,0.392,0.29,0.071,0.212,0.035,0.536,0.657,0.464,0.4,0.455,0.227,0.535,0.111,65.0,1.0,0.182,0.25,0.0,0.0
8,Shareef Abdur-Rahim,2006,SAC,0.474,7.8,0.969,0.381,0.304,0.061,0.223,0.031,0.484,0.562,0.472,0.375,0.397,0.15,0.541,0.099,59.0,1.0,0.4,0.375,0.0,0.0
9,Shareef Abdur-Rahim,2007,SAC,0.214,8.8,1.0,0.429,0.214,0.0,0.357,0.0,0.214,0.167,0.333,,0.2,,0.333,0.0,0.0,,,,0.0,0.0
0,Alex Abrines,2016,OKC,0.393,20.6,0.276,0.12,0.047,0.044,0.065,0.724,0.426,0.488,0.438,0.333,0.364,0.381,0.6,0.015,5.0,0.968,0.231,0.404,2.0,0.0
1,Alex Abrines,2017,OKC,0.395,20.3,0.241,0.127,0.041,0.027,0.041,0.759,0.443,0.595,0.25,0.625,0.083,0.38,0.548,0.034,9.0,1.0,0.253,0.375,1.0,0.0
2,Alex Abrines,2018,OKC,0.357,22.3,0.191,0.102,0.025,0.019,0.045,0.809,0.5,0.5,0.5,0.333,0.571,0.323,0.8,0.006,1.0,0.951,0.205,0.385,2.0,0.0
0,Alex Acker,2005,DET,0.25,16.1,0.688,0.188,0.0,0.313,0.188,0.313,0.273,0.0,,0.4,0.333,0.2,0.333,0.0,0.0,0.0,0.2,0.0,0.0,0.0
1,Alex Acker,2008,TOT,0.395,14.7,0.737,0.224,0.066,0.118,0.329,0.263,0.411,0.294,0.4,0.556,0.44,0.35,0.478,0.013,0.0,0.714,0.45,0.222,0.0,0.0
2,Alex Acker,2008,DET,0.364,17.8,0.636,0.091,0.091,0.091,0.364,0.364,0.571,1.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,,0.5,0.0,0.0,0.0
3,Alex Acker,2008,LAC,0.4,14.1,0.754,0.246,0.062,0.123,0.323,0.246,0.388,0.25,0.5,0.625,0.381,0.438,0.474,0.015,0.0,0.714,0.438,0.286,0.0,0.0
0,Quincy Acy,2012,TOR,0.56,7.9,0.973,0.573,0.08,0.053,0.267,0.027,0.562,0.651,0.5,0.5,0.4,0.5,0.732,0.267,19.0,1.0,0.5,1.0,0.0,0.0
1,Quincy Acy,2013,TOT,0.468,8.1,0.894,0.461,0.22,0.05,0.163,0.106,0.492,0.6,0.387,0.429,0.348,0.267,0.694,0.191,25.0,1.0,0.667,0.3,0.0,0.0
2,Quincy Acy,2013,TOR,0.429,14.1,0.643,0.357,0.071,0.0,0.214,0.357,0.444,0.6,1.0,,0.0,0.4,0.75,0.143,2.0,1.0,0.4,0.5,0.0,0.0
3,Quincy Acy,2013,SAC,0.472,7.5,0.921,0.472,0.236,0.055,0.157,0.079,0.496,0.6,0.367,0.429,0.4,0.2,0.69,0.197,23.0,1.0,0.8,0.25,0.0,0.0
